Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,"(10, 50, 'IDEA.NS')",1398.6013799467103,2025-05-05,7.150000095367432,0.0,2025-05-06,6.880000114440918,0.0,-377.62234590940716,-0.03776223459094072,Long,Closed,0
1,"(10, 50, 'IDEA.NS')",1279.5714998000642,2025-07-02,7.519999980926514,0.0,2025-08-04,6.840000152587891,0.0,-870.1084002110383,-0.09042550931693523,Long,Closed,1
2,"(10, 50, 'IDEA.NS')",1075.2173077067553,2025-09-15,8.140000343322754,0.0,2026-01-21,10.119999885559082,0.0,2128.929777063953,0.24324317674759355,Long,Closed,2
3,"(10, 50, 'IDEA.NS')",918.244614401771,2026-02-11,11.850000381469727,0.0,2026-02-26,10.850000381469727,0.0,-918.2446144017704,-0.08438818293742298,Long,Closed,3
4,"(10, 50, 'IDEA.NS')",974.8487432709431,2026-05-01,10.220000267028809,0.0,2026-06-30,14.460000038146973,0.0,4133.358448343628,0.4148727651991373,Long,Open,4
