Exit Trade Id,Ticker,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Timestamp,Avg Exit Price,Exit Fees,PnL_Absolute,PnL_Percent,Side,Status,Position Id
0,EASEMYTRIP.NS,1291.3440302733616,2026-04-23 14:30:00+05:30,7.739999771118164,4.9975012493741815,2026-04-24 14:15:00+05:30,7.659999847412109,4.945847537425244,-113.25077268693744,-0.01133073980732809,Long,Closed,0
1,EASEMYTRIP.NS,1233.683900222678,2026-04-28 10:45:00+05:30,8.010000228881836,4.940904161575744,2026-04-28 12:00:00+05:30,7.900000095367432,4.87305146470621,125.89143811278456,0.012739716658725425,Short,Closed,1
2,EASEMYTRIP.NS,1289.6438855446245,2026-04-30 10:15:00+05:30,7.760000228881836,5.003818423499979,2026-04-30 13:30:00+05:30,7.820000171661377,5.042507703170505,67.33223321199146,0.006728085185481119,Long,Closed,2
3,EASEMYTRIP.NS,1303.3551624919598,2026-05-05 11:45:00+05:30,7.730000019073486,5.037467715461389,2026-05-05 15:00:00+05:30,7.800000190734863,5.083085258016278,81.11453213670241,0.008051121785628779,Long,Closed,3
4,EASEMYTRIP.NS,1261.6160478791733,2026-05-06 11:15:00+05:30,8.050000190734863,5.078004713030755,2026-05-06 14:00:00+05:30,7.889999866485596,4.977075224661381,191.80389680105537,0.01888575411409762,Short,Closed,4
5,EASEMYTRIP.NS,1287.029542032022,2026-05-06 14:45:00+05:30,8.039999961853027,5.173858734420588,2026-05-07 13:15:00+05:30,8.069999694824219,5.1931640057140855,-48.977565327130186,-0.004733175743791843,Short,Closed,5
6,EASEMYTRIP.NS,1332.3110419982693,2026-05-11 09:15:00+05:30,7.730000019073486,5.149382190029428,2026-05-11 14:15:00+05:30,7.730000019073486,5.149382190029219,-10.298764380058646,-0.0010000000000000202,Long,Closed,6
7,EASEMYTRIP.NS,1366.3307404806862,2026-05-12 09:15:00+05:30,7.530000209808349,5.144235381243561,2026-05-12 15:15:00+05:30,7.5,5.1237402768025735,-51.258184540064256,-0.004982099451257317,Long,Closed,7
8,EASEMYTRIP.NS,1304.1067921784133,2026-05-13 14:30:00+05:30,7.849999904632568,5.118619097115615,2026-05-15 09:15:00+05:30,8.15999984741211,5.320755612592474,-414.71240566342635,-0.04051018426992549,Short,Closed,8
9,EASEMYTRIP.NS,1243.383914248863,2026-05-15 15:15:00+05:30,7.900000095367431,4.9113665205713914,2026-05-18 13:00:00+05:30,7.760000228881836,4.824329729579585,-183.80927823532892,-0.018712641121916833,Long,Closed,9
10,EASEMYTRIP.NS,1176.9250446246867,2026-05-18 14:15:00+05:30,8.1899995803833,4.819507810809391,2026-05-19 13:00:00+05:30,8.220000267028809,4.8371620905439086,-44.96522937038796,-0.004664919234028222,Short,Closed,10
11,EASEMYTRIP.NS,1174.3051131009818,2026-05-27 09:45:00+05:30,8.170000076293945,4.797036431813695,2026-05-27 10:15:00+05:30,7.590000152587891,4.456487993809926,671.8433515805751,0.07002691777833342,Short,Closed,11
12,EASEMYTRIP.NS,1352.5138675931273,2026-05-27 10:15:00+05:30,7.590000152587891,5.132790230703765,2026-05-29 09:15:00+05:30,7.46999979019165,5.051639153575979,-172.4865836413948,-0.016802418946480005,Long,Closed,12
13,EASEMYTRIP.NS,1413.610681610195,2026-05-29 13:30:00+05:30,7.139999866485596,5.046590038979048,2026-06-01 15:00:00+05:30,7.0,4.947637385635682,-207.8995341126535,-0.020598020892012636,Long,Closed,13
14,EASEMYTRIP.NS,1443.1218363929518,2026-06-03 12:30:00+05:30,6.849999904632569,4.942692220831304,2026-06-03 14:45:00+05:30,6.909999847412109,4.98598583463619,76.65854955201492,0.0077547362982581265,Long,Closed,14
15,EASEMYTRIP.NS,1417.0703248625903,2026-06-04 10:15:00+05:30,7.03000020980835,4.981002340548598,2026-06-04 12:45:00+05:30,6.840000152587891,4.846380619143945,259.41605984961495,0.02604054787706076,Short,Closed,15
16,EASEMYTRIP.NS,1514.2653478131097,2026-06-04 13:00:00+05:30,6.750000000000001,5.1106455488679785,2026-06-05 09:30:00+05:30,6.809999942779541,5.1560734659801595,80.5891152069794,0.007884435971578006,Long,Closed,16
17,EASEMYTRIP.NS,1471.6914197892966,2026-06-09 12:30:00+05:30,7.0,5.150919969262538,2026-06-11 09:15:00+05:30,8.550000190734863,6.291480959950674,-2292.5643823054843,-0.22253931297574722,Short,Closed,17
18,EASEMYTRIP.NS,1017.8426152527217,2026-06-19 09:15:00+05:30,7.869999885559082,4.005210632777562,2026-06-19 14:00:00+05:30,7.900000095367432,4.0204783787827685,22.50980299790112,0.002810064820771759,Long,Closed,18
19,EASEMYTRIP.NS,1063.9628630916961,2026-06-24 15:00:00+05:30,7.550000190734863,4.016459909637888,2026-06-25 11:30:00+05:30,7.699999809265137,4.096256921435624,151.48130676305811,0.018857564891851482,Long,Closed,19
20,EASEMYTRIP.NS,1162.5462311911667,2026-06-29 15:00:00+05:30,7.039999961853027,4.092162711618585,2026-07-01 09:15:00+05:30,7.050000190734863,4.097975575817911,3.4355901101909314,0.00041977682124370034,Long,Closed,20
21,EASEMYTRIP.NS,1120.0765199046637,2026-07-01 09:45:00+05:30,7.309999942779541,4.093879648205899,2026-07-01 14:15:00+05:30,7.210000038146973,4.0378758756200765,103.8757896478188,0.01268671756060798,Short,Closed,21
22,EASEMYTRIP.NS,1182.8220974884835,2026-07-03 15:00:00+05:30,7.010000228881836,4.145791587059648,2026-07-06 15:15:00+05:30,7.039999961853027,4.163533760598921,27.175021729420724,0.0032774225571586767,Long,Closed,22
23,EASEMYTRIP.NS,1145.8325554916557,2026-07-07 14:00:00+05:30,7.260000228881835,4.15937230756484,2026-07-08 09:15:00+05:30,7.079999923706055,4.056247202730418,198.03459015854787,0.02380582639817712,Short,Closed,23
24,EASEMYTRIP.NS,1232.515256952816,2026-07-08 13:15:00+05:30,6.909999847412109,4.258340118738488,2026-07-09 13:15:00+05:30,6.840000152587891,4.215202272812082,-94.74923424444087,-0.01112513697854987,Long,Closed,24
25,EASEMYTRIP.NS,1247.700496914706,2026-07-09 14:15:00+05:30,6.75,4.210989177086958,2026-07-10 09:15:00+05:30,6.840000152587891,4.2671357946402875,103.81511013458278,0.01232668926097725,Long,Closed,25
26,EASEMYTRIP.NS,1244.6338250207475,2026-07-15 10:00:00+05:30,6.849999904632568,4.262870791346359,2026-07-15 14:15:00+05:30,6.840000152587891,4.256647776528981,-20.965548204502255,-0.002459087928146659,Long,Closed,26
27,IDEA.NS,1065.565285373812,2026-04-24 09:45:00+05:30,9.380000114440918,4.9975012493741815,2026-04-24 12:00:00+05:30,9.550000190734863,5.088074339280177,171.06060422107362,0.017114613452318413,Long,Closed,27
28,IDEA.NS,1031.0322484168557,2026-04-28 09:15:00+05:30,9.859999656677246,5.082988807706683,2026-04-28 13:45:00+05:30,9.9399995803833,5.124230058312599,-92.68972007785011,-0.00911763959988625,Short,Closed,28
29,IDEA.NS,973.2689706050298,2026-04-29 09:30:00+05:30,10.350000381469728,5.036667108517354,2026-04-29 13:45:00+05:30,10.300000190734863,5.0123352914340655,38.61463176662481,0.003833351592894117,Short,Closed,29
30,IDEA.NS,938.8977828543163,2026-05-04 09:15:00+05:30,10.770000457763672,5.055964775567142,2026-05-04 13:15:00+05:30,10.470000267028809,4.915130018598724,271.6984191426708,0.026869097314092105,Short,Closed,30
31,IDEA.NS,947.3989190527046,2026-05-05 09:30:00+05:30,10.960000038146973,5.191746094479022,2026-05-05 13:45:00+05:30,10.829999923706055,5.130165110529996,112.84005669304425,0.010867254931153125,Short,Closed,31
32,IDEA.NS,940.5265230583886,2026-05-06 09:15:00+05:30,11.15999984741211,5.24813792690933,2026-05-06 15:15:00+05:30,11.270000457763672,5.299867172703457,-114.00649668786791,-0.010861613992966002,Short,Closed,32
33,IDEA.NS,888.1374426491922,2026-05-11 09:45:00+05:30,11.6899995803833,5.191163165945877,2026-05-12 09:15:00+05:30,11.710000038146973,5.200044743650897,-28.154363319637554,-0.0027117586578987423,Short,Closed,33
34,IDEA.NS,842.4886957572902,2026-05-13 09:30:00+05:30,12.289999961853026,5.177093019359352,2026-05-14 09:30:00+05:30,12.75,5.370865435452726,-398.09279064156004,-0.03844752152925608,Short,Closed,34
35,IDEA.NS,753.6935780656983,2026-05-15 10:45:00+05:30,13.210000038146974,4.9781460974995015,2026-05-15 13:30:00+05:30,12.989999771118164,4.895239703283325,155.93940263157023,0.01566239716326303,Short,Closed,35
36,IDEA.NS,763.181408822236,2026-05-19 10:30:00+05:30,13.25,5.056076833447313,2026-05-19 15:15:00+05:30,13.449999809265137,5.132394901546887,-162.82460793413998,-0.01610187239017129,Short,Closed,36
37,IDEA.NS,719.9284117426455,2026-05-21 09:45:00+05:30,13.81999969482422,4.974705215289323,2026-05-21 12:45:00+05:30,13.680000305175781,4.924310446172053,90.8905225730782,0.009135267180629528,Short,Closed,37
38,IDEA.NS,719.2160102554299,2026-05-22 13:15:00+05:30,13.960000038146973,5.020127765300858,2026-05-22 14:30:00+05:30,13.710000038146973,4.930225764018928,169.8536490345386,0.01691726356135472,Short,Closed,38
39,IDEA.NS,722.5777928210518,2026-05-26 09:15:00+05:30,14.130000114440918,5.105012147626964,2026-05-26 15:15:00+05:30,14.09000015258789,5.0905606055526205,18.707511395507826,0.0018322690382043367,Short,Closed,39
40,IDEA.NS,710.3279672595065,2026-05-29 09:30:00+05:30,14.399999618530272,5.114361228784139,2026-05-29 11:00:00+05:30,14.220000267028809,5.050431942054107,117.69378028922554,0.011506205274163381,Short,Closed,40
41,IDEA.NS,745.4147935929495,2026-05-29 13:00:00+05:30,13.880000114440918,5.1731787101871305,2026-06-01 09:15:00+05:30,14.25,5.311080404349766,265.31912920890153,0.025643723527894235,Long,Closed,41
42,IDEA.NS,717.9664511525541,2026-06-03 13:15:00+05:30,14.779999732971191,5.305771978158512,2026-06-04 13:00:00+05:30,15.010000228881836,5.388338298064658,-175.826750088516,-0.01656938432449755,Short,Closed,42
