Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,"(10, 50, 'IDEA.NS')",990.098972505665,2021-06-07,10.100000381469727,0.0,2021-07-13,8.850000381469727,0.0,-1237.6237156320803,-0.12376237156320803,Long,Closed,0
1,"(10, 50, 'IDEA.NS')",979.0364772183584,2021-09-15,8.949999809265137,0.0,2021-11-11,9.850000381469727,0.0,881.1333897056884,0.10055872529437368,Long,Closed,1
2,"(10, 50, 'IDEA.NS')",872.7157925444598,2021-11-30,11.050000190734863,0.0,2022-01-20,12.050000190734863,0.0,872.715792544459,0.09049773599447292,Long,Closed,2
3,"(10, 50, 'IDEA.NS')",1011.1755627260512,2022-04-13,10.399999618530273,0.0,2022-04-25,9.800000190734863,0.0,-606.7047590363327,-0.0576922547887749,Long,Closed,3
4,"(10, 50, 'IDEA.NS')",1113.4293407102607,2022-07-25,8.899999618530273,0.0,2022-09-29,8.5,0.0,-445.3713115445189,-0.044943779289321945,Long,Closed,4
5,"(10, 50, 'IDEA.NS')",1221.1805672306084,2023-02-15,7.75,0.0,2023-02-21,7.0,0.0,-915.8854254229573,-0.09677419354838719,Long,Closed,5
6,"(10, 50, 'IDEA.NS')",1221.1805672306084,2023-05-04,6.999999999999999,0.0,2024-02-06,14.25,0.0,8853.55911242191,1.0357142857142856,Long,Closed,6
7,"(10, 50, 'IDEA.NS')",1091.0234038327503,2024-02-15,15.949999809265137,0.0,2024-03-05,14.350000381469727,0.0,-1745.636821843802,-0.1003134449485067,Long,Closed,7
8,"(10, 50, 'IDEA.NS')",1036.8335010378657,2024-05-24,15.100000381469727,0.0,2024-07-29,16.049999237060547,0.0,984.9906394241953,0.06291382990669524,Long,Closed,8
9,"(10, 50, 'IDEA.NS')",2064.66203898882,2025-01-07,8.0600004196167,0.0,2025-02-21,8.039999961853027,0.0,-41.29418590705245,-0.002481446243475874,Long,Closed,9
10,"(10, 50, 'IDEA.NS')",2321.661887174626,2025-05-05,7.150000095367432,0.0,2025-05-06,6.880000114440918,0.0,-626.8486652549636,-0.0377622345909408,Long,Closed,10
11,"(10, 50, 'IDEA.NS')",2124.0736821766004,2025-07-02,7.519999980926514,0.0,2025-08-04,6.840000152587891,0.0,-1444.3697392586764,-0.09042550931693528,Long,Closed,11
12,"(10, 50, 'IDEA.NS')",1784.8481200757858,2025-09-15,8.140000343322754,0.0,2026-01-21,10.119999885559082,0.0,3533.9984607114275,0.24324317674759352,Long,Closed,12
13,"(10, 50, 'IDEA.NS')",1524.2752902483053,2026-02-11,11.850000381469727,0.0,2026-02-26,10.850000381469727,0.0,-1524.2752902483044,-0.08438818293742298,Long,Closed,13
14,"(10, 50, 'IDEA.NS')",1618.2374802879615,2026-05-01,10.220000267028809,0.0,2026-06-30,14.460000038146973,0.0,6861.326546035791,0.41487276519913735,Long,Open,14
