Symbol,Side,Entry Time,Exit Time,Entry,Exit,Qty,PnL,Exit Reason,RR,ATR
RELIANCE.NS,BUY,2026-04-28 14:30:00+05:30,2026-04-29 09:15:00+05:30,1390.69,1393.6,109,277.18999999998414,TRAILING_STOP,0.3,6.078118180216998
RELIANCE.NS,BUY,2026-04-29 10:15:00+05:30,2026-04-29 12:45:00+05:30,1425.61,1413.21,91,-1168.3999999999876,INITIAL_STOPLOSS,-1.06,7.322490444181864
RELIANCE.NS,BUY,2026-04-29 15:00:00+05:30,2026-04-30 09:15:00+05:30,1425.81,1418.98,132,-941.5599999999904,TRAILING_STOP,-0.82,5.043317887392454
RELIANCE.NS,BUY,2026-04-30 14:30:00+05:30,2026-05-04 11:45:00+05:30,1434.72,1450.32,117,1785.1999999999894,TARGET,1.69,5.682839469661458
RELIANCE.NS,BUY,2026-05-04 12:30:00+05:30,2026-05-05 09:30:00+05:30,1454.23,1468.82,124,1769.1599999999899,TARGET,1.67,5.348613372672801
RELIANCE.NS,BUY,2026-05-05 12:00:00+05:30,2026-05-06 10:00:00+05:30,1460.83,1458.76,122,-292.53999999999223,TRAILING_STOP,-0.23,5.442734027207791
RELIANCE.NS,BUY,2026-05-20 14:00:00+05:30,2026-05-21 09:15:00+05:30,1358.68,1358.27,140,-97.40000000001146,TRAILING_STOP,-0.05,4.740939559758001
RELIANCE.NS,BUY,2026-06-12 14:45:00+05:30,2026-06-15 09:15:00+05:30,1290.75,1309.71,156,2917.7600000000057,TRAILING_STOP,2.7,4.251714676873284
RELIANCE.NS,BUY,2026-06-16 09:30:00+05:30,2026-06-16 10:45:00+05:30,1314.46,1325.37,163,1738.3299999999763,TARGET,1.61,4.075157255463567
RELIANCE.NS,BUY,2026-06-18 15:15:00+05:30,2026-06-19 09:15:00+05:30,1331.67,1326.54,193,-1030.090000000021,TRAILING_STOP,-0.88,3.439308515966063
RELIANCE.NS,BUY,2026-07-06 12:30:00+05:30,2026-07-06 14:00:00+05:30,1324.46,1317.63,181,-1276.2299999999868,INITIAL_STOPLOSS,-1.11,3.671297092462747
RELIANCE.NS,BUY,2026-07-10 14:15:00+05:30,2026-07-13 09:15:00+05:30,1308.05,1302.36,205,-1206.4500000000112,TRAILING_STOP,-1.03,3.237036506553901
